id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5600653,"Spacious, Sunny, Private Balcony! Brooks Tower 5N",6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,78,30,3,2023-09-01,0.03,19,30,1,
5600766,Private balcony w/downtown view! Brooks Tower 6G,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,78,30,4,2020-10-07,0.04,19,29,0,
5685878,"Historic Condo, Excellent Amenities",21064478,Luke,,North Capitol Hill,39.74535,-104.97623,Entire home/apt,83,31,83,2024-06-11,0.75,1,177,1,
5691532,Downtown Apt - Amazing City View! Brooks Tower 6I,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,71,30,7,2019-07-21,0.07,19,233,0,
5691878,Urban Studio Life! Brooks Tower 5F,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,62,30,13,2023-10-01,0.12,19,39,2,
5716391,2x2 with a View! Brooks Tower 6J,6658113,Alex,,CBD,39.74651,-104.99634,Entire home/apt,98,30,2,2021-06-22,0.02,19,33,0,
5746214,Private Suite on Beautiful Wooded Street,16611775,Megan,,South Park Hill,39.7483,-104.91471,Private room,73,2,205,2023-11-22,2.84,1,128,13,2018-BFN-0007525
5794938,★ Penthouse ★Balcony★ Chef's Kitch ★ Garage,19065685,Allan,,North Capitol Hill,39.74326,-104.98088,Entire home/apt,139,29,632,2024-06-26,5.64,1,150,84,2019-BFN-0004106
5931452,Downtown Life w/Balcony! Brooks Tower 5K,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,68,30,5,2023-09-03,0.05,19,46,1,
5955475,2x2 with Private Outdoor Space! Brooks Tower 5L,6658113,Alex,,CBD,39.74634,-104.99678,Entire home/apt,110,30,7,2023-09-29,0.06,19,44,2,
5966633,Lovely West Wash Park Guest House,30972487,Sabrina,,Speer,39.71396,-104.97608,Entire home/apt,132,1,429,2024-06-27,4.81,2,337,52,2017-BFN-0001904
